CreditScore,Geography,Gender,Age,EstimatedSalary,Balance,NumOfProducts,HasCrCard,IsActiveMember,Exited,Tenure
757,Spain,Male,33.0,194239.63,77253.22,1,1,1,0,5
416,Germany,Female,41.0,98301.61,122189.66,2,0,0,0,10
665,France,Female,34.0,171413.66,96645.54,2,0,0,0,1
777,France,Female,32.0,136458.19,0.0,1,0,0,1,2
543,France,Female,36.0,26019.59,0.0,2,0,0,0,3
506,France,Female,34.0,159235.29,90307.62,1,1,1,0,4
493,France,Female,46.0,1907.66,0.0,2,0,0,0,4
652,Spain,Female,75.0,114675.75,0.0,2,1,1,0,10
750,Spain,Male,22.0,128643.35,121681.82,1,0,0,1,3
729,France,Male,30.0,151869.35,0.0,2,0,0,0,9
646,France,Female,46.0,93251.42,0.0,3,0,0,1,4
635,Germany,Female,28.0,156791.36,81623.67,2,1,1,0,3
647,Spain,Female,44.0,174205.22,0.0,3,1,1,1,5
808,France,Male,45.0,147132.46,118626.55,2,0,0,0,7
524,France,Female,36.0,109614.57,0.0,2,0,0,0,10
769,France,Male,29.0,172290.61,0.0,2,1,1,0,8
730,Spain,Male,42.0,85982.47,0.0,2,1,1,0,4
515,Spain,Male,35.0,121277.78,176273.95,1,1,1,0,10
773,Spain,Male,41.0,64595.25,102827.44,1,1,1,0,9
814,Germany,Male,29.0,197276.13,97086.4,2,1,1,0,8
710,Spain,Male,22.0,99645.04,0.0,2,0,0,0,8
413,France,Male,34.0,6534.18,0.0,2,0,0,0,9
665,France,Female,40.0,161848.03,0.0,1,1,1,0,6
623,France,Female,44.0,167162.43,0.0,2,0,0,0,6
738,France,Male,31.0,41970.72,82674.15,1,0,0,0,9
528,Spain,Male,36.0,60536.56,0.0,2,0,0,0,7
670,Spain,Female,65.0,177655.68,0.0,1,1,1,1,1
622,Spain,Female,46.0,30984.59,107073.27,2,1,1,1,4
582,Germany,Male,32.0,10054.53,88938.62,1,1,1,0,1
785,Germany,Female,36.0,36976.52,99806.85,1,1,1,0,2
605,Spain,Male,33.0,71862.79,150092.8,1,0,0,0,5
479,Germany,Male,35.0,99449.86,92833.89,1,0,0,1,9
685,Germany,Male,30.0,63082.88,90536.81,1,1,1,0,3
538,Germany,Male,39.0,27231.26,108055.1,2,0,0,0,7
562,France,Male,42.0,86797.41,100238.35,1,0,0,0,2
675,Spain,Male,36.0,22994.32,106190.55,1,1,1,0,9
721,Germany,Male,28.0,101300.94,154475.54,2,1,1,1,9
628,Germany,Female,30.0,74169.13,132351.29,2,1,1,0,9
668,Germany,Female,37.0,115638.29,167864.4,1,0,0,0,6
506,France,Female,41.0,31766.3,0.0,2,0,0,0,1
524,Germany,Female,31.0,199725.39,107818.63,1,0,0,1,8
699,Germany,Male,34.0,120834.48,185173.81,2,0,0,0,4
828,France,Male,34.0,38131.77,129433.34,2,0,0,0,8
674,Spain,Male,,-999999.0,120193.42,1,0,0,0,6
656,France,Female,39.0,141069.88,0.0,2,0,0,0,6
684,Germany,Female,48.0,198129.36,126384.42,1,1,1,0,10
625,France,Female,28.0,183646.41,0.0,1,0,0,0,3
432,France,Male,42.0,110265.24,152603.45,1,0,0,1,9
549,France,Female,52.0,8636.05,0.0,1,1,1,1,1
625,Germany,Male,56.0,46824.08,148507.24,1,0,0,1,0
828,France,Female,41.0,171378.77,0.0,2,0,0,0,7
770,France,Male,24.0,167256.35,101827.07,1,0,0,0,9
758,France,Female,34.0,124226.16,0.0,2,1,1,0,3
795,Germany,Female,33.0,114935.21,130862.43,1,1,1,0,9
687,France,Male,38.0,35608.88,122570.87,1,1,1,0,9
686,France,Male,25.0,16459.37,0.0,2,1,1,0,1
789,Germany,Male,39.0,124411.08,124828.46,2,1,1,0,7
589,Germany,Female,50.0,34941.23,144895.05,2,1,1,0,5
461,Germany,Female,34.0,167784.28,63663.93,1,1,1,0,5
637,France,Male,40.0,93165.34,133463.1,1,1,1,0,2
584,Spain,Female,48.0,75161.25,213146.2,1,0,0,1,2
579,Spain,Female,35.0,8590.83,129490.36,2,1,1,1,1
756,Germany,Male,44.0,189543.9,137452.09,1,0,0,0,10
663,France,Male,34.0,180427.24,0.0,2,1,1,0,7
682,France,Female,43.0,193318.33,125851.93,1,1,1,0,5
793,Spain,Male,52.0,159123.82,0.0,1,0,0,1,2
691,France,Female,31.0,126213.84,40915.55,1,0,0,1,5
485,Spain,Female,21.0,54141.5,113157.22,1,1,1,0,5
635,Spain,Female,29.0,141075.51,138296.94,2,0,0,0,8
650,France,Male,37.0,24495.03,106967.18,1,0,0,0,5
735,France,Male,44.0,74836.34,120681.63,1,0,0,0,9
416,France,Male,32.0,878.87,0.0,2,1,1,0,0
754,Spain,Female,32.0,89520.75,0.0,2,0,0,0,7
535,France,Female,48.0,149892.79,0.0,1,0,0,1,9
716,Spain,Male,42.0,180800.42,0.0,2,0,0,0,8
539,France,Male,37.0,98646.22,127609.59,1,0,0,0,2
614,France,Female,43.0,109041.53,0.0,2,1,1,0,6
706,Spain,Male,57.0,17941.16,0.0,1,0,0,1,7
758,France,Female,33.0,82996.47,0.0,2,0,0,0,7
586,Spain,Female,28.0,92067.35,0.0,2,1,1,0,2
646,France,Female,73.0,104719.66,97259.25,1,1,1,0,6
631,Germany,Female,33.0,112687.57,123246.7,1,0,0,0,4
717,Spain,Female,22.0,84699.56,101060.25,1,1,1,0,6
684,France,Male,30.0,83473.82,0.0,2,0,0,0,2
800,France,Female,49.0,47125.11,108007.36,1,0,0,0,7
721,Spain,Female,36.0,106977.8,0.0,2,1,1,0,2
683,Spain,Male,29.0,55582.54,133702.89,1,0,0,1,0
660,Germany,Male,31.0,139874.43,125189.75,2,1,1,0,9
704,Germany,Female,24.0,162503.48,113034.22,1,0,0,1,7
615,Spain,Female,41.0,196499.96,109013.23,1,0,0,0,9
667,Spain,Female,39.0,40721.24,0.0,2,0,0,1,2
682,Germany,Male,24.0,53134.3,57929.81,2,0,0,0,9
484,France,Female,29.0,164017.89,130114.39,1,0,0,0,4
628,Germany,Male,27.0,155996.96,95826.49,2,0,0,0,5
480,Germany,Male,44.0,5472.7,129608.57,1,0,0,1,10
578,France,Male,30.0,112187.11,169462.09,1,0,0,0,4
512,France,Male,40.0,146457.83,0.0,2,1,1,0,5
484,Spain,Female,35.0,27286.1,133868.21,1,1,1,0,7
510,France,Female,30.0,130553.47,0.0,2,1,1,0,0
606,Germany,Male,36.0,179351.89,190479.48,2,0,0,0,5
597,Spain,Female,40.0,94774.12,101993.12,1,1,1,0,8
754,Germany,Female,55.0,8080.85,161608.81,1,0,0,1,3
850,Spain,Female,45.0,19482.5,122311.21,1,1,1,0,2
510,France,Male,65.0,48071.61,0.0,2,1,1,0,2
778,Germany,Female,45.0,174531.27,162150.42,2,0,0,0,1
636,France,Male,42.0,55470.78,0.0,2,1,1,0,2
804,France,Female,50.0,8546.87,0.0,1,1,1,1,4
514,France,Male,32.0,95857.18,0.0,2,0,0,0,8
730,France,Female,39.0,194945.8,99010.67,1,0,0,0,1
525,Spain,Female,37.0,131521.72,0.0,1,1,1,0,0
616,Spain,Male,30.0,196108.51,0.0,2,1,1,0,5
687,Germany,Female,34.0,148564.76,111388.18,2,0,0,0,7
715,France,Female,41.0,92982.61,56214.85,2,0,0,1,8
512,France,Female,36.0,17675.36,84327.77,2,0,0,0,3
479,France,Male,40.0,114996.43,0.0,2,0,0,0,1
601,France,Male,32.0,86957.42,93012.89,1,0,0,0,8
580,Spain,Male,29.0,128077.8,61710.44,2,0,0,0,9
807,France,Male,35.0,600.36,174790.15,1,1,1,0,3
616,Spain,Female,32.0,43001.46,0.0,2,1,1,0,6
721,Germany,Male,37.0,158591.12,107720.64,1,1,1,0,3
501,France,Male,57.0,47847.19,0.0,2,1,1,0,10
521,France,Male,35.0,10488.44,96423.84,1,0,0,0,6
850,Spain,Male,30.0,5978.2,141040.01,1,1,1,0,2
759,France,Male,42.0,121409.06,105420.18,1,1,1,0,4
516,Spain,Male,50.0,146145.93,0.0,1,1,1,1,5
711,France,Female,38.0,14374.86,129022.06,2,1,1,1,2
512,Spain,Male,33.0,94670.77,176666.62,1,0,0,0,3
550,France,Male,37.0,179670.31,0.0,1,1,1,0,3
608,Spain,Female,41.0,199304.74,89763.84,1,0,0,1,3
618,France,Male,34.0,151954.39,134954.53,1,1,1,0,5
643,France,Male,45.0,142513.5,0.0,1,0,0,1,5
671,France,Male,45.0,158264.62,106376.85,1,1,1,0,2
689,Germany,Male,33.0,169381.9,161814.64,2,0,0,0,2
603,France,Male,31.0,169915.02,0.0,2,1,1,0,8
620,France,Female,41.0,88852.47,0.0,2,0,0,0,9
676,France,Female,34.0,40645.81,63095.01,1,1,1,0,1
572,Germany,Male,26.0,60427.3,118287.01,2,0,0,0,4
668,Germany,Male,47.0,157959.02,106854.21,1,1,1,1,7
695,France,Male,46.0,133007.34,49512.55,1,0,0,0,7
730,Spain,Female,33.0,176576.62,0.0,2,0,0,0,9
807,France,Male,43.0,34888.04,105799.32,2,0,0,1,1
592,France,Male,54.0,28737.71,0.0,1,1,1,1,8
726,France,Female,31.0,98178.57,114722.05,2,1,1,0,9
514,Spain,Male,30.0,125010.24,0.0,1,1,1,0,7
567,France,Male,42.0,167984.61,0.0,2,1,1,0,2
850,France,Male,33.0,4861.72,0.0,1,0,0,1,10
671,Germany,Male,45.0,108872.45,99564.22,1,1,1,1,6
670,France,Male,37.0,198252.88,170557.91,2,0,0,0,4
694,France,Female,30.0,26960.31,0.0,2,1,1,0,9
547,Germany,Female,39.0,85746.52,74596.15,3,1,1,1,6
751,Germany,Male,50.0,77206.25,96888.39,1,0,0,1,2
594,Germany,Female,29.0,61048.53,130830.22,1,0,0,0,3
673,France,Male,72.0,111981.19,0.0,2,1,1,0,1
610,France,Male,40.0,62232.6,0.0,2,0,0,0,0
512,France,Female,37.0,156105.03,0.0,2,1,1,0,1
767,Germany,Male,20.0,150135.38,119714.25,2,1,1,0,3
585,France,Female,67.0,93146.11,113978.97,2,1,1,0,5
763,Germany,Male,42.0,33462.94,100160.75,1,0,0,1,6
712,France,Female,29.0,144375.0,0.0,1,1,1,0,2
539,Germany,Female,43.0,55803.96,116220.5,3,0,0,1,3
668,France,Female,46.0,89048.46,0.0,3,0,0,1,2
703,France,Male,28.0,162812.16,81173.83,2,1,1,0,2
662,Spain,Male,38.0,136259.65,0.0,2,0,0,0,4
725,Germany,Female,39.0,124052.97,116803.8,1,0,0,0,5
703,France,Male,37.0,74158.8,105961.68,2,1,1,0,8
659,Germany,Male,67.0,45071.09,117411.6,1,1,1,1,6
523,Spain,Male,34.0,62030.06,0.0,2,0,0,0,7
635,France,Female,40.0,131953.23,123497.58,1,0,0,1,10
772,Germany,Male,26.0,79414.0,152400.51,2,0,0,0,7
545,France,Female,26.0,199638.56,0.0,2,1,1,0,1
634,Germany,Male,24.0,157577.29,103097.85,1,1,1,0,8
739,Germany,Male,54.0,134420.75,126418.14,1,0,0,1,8
771,Germany,Female,36.0,99805.99,77846.9,1,0,0,0,5
587,Spain,Female,34.0,97932.68,0.0,2,1,1,0,1
681,France,Female,79.0,170968.99,0.0,2,1,1,0,0
544,Germany,Male,37.0,57558.95,79731.91,1,1,1,0,2
696,Spain,Male,28.0,176713.47,0.0,1,0,0,0,8
766,Spain,Male,41.0,34283.23,0.0,2,1,1,0,0
727,France,Male,34.0,198637.34,0.0,2,1,1,0,10
671,Germany,Female,34.0,156917.12,37266.67,2,0,0,0,6
693,France,Female,30.0,50457.2,127992.25,1,1,1,0,6
850,Germany,Male,38.0,140075.55,54901.01,1,1,1,0,3
732,Germany,Male,42.0,65323.11,108748.08,2,1,1,0,9
726,Spain,Female,48.0,64323.24,99906.19,1,0,0,0,6
557,France,Female,32.0,14956.44,184686.41,2,0,0,0,6
682,France,Female,26.0,111879.21,110654.02,1,1,1,0,0
738,Spain,Male,31.0,18606.23,79019.8,1,1,1,0,9
531,Spain,Female,36.0,123137.01,99240.51,1,0,0,0,9
498,France,Male,34.0,148528.24,0.0,2,1,1,0,2
651,France,Male,36.0,13898.31,0.0,2,0,0,0,7
549,Spain,Female,39.0,81259.25,0.0,1,0,0,1,7
791,Germany,Female,35.0,161051.75,52436.2,1,0,0,0,7
650,Spain,Male,41.0,191599.67,0.0,2,1,1,0,9
733,Germany,Male,34.0,48559.19,100337.96,3,0,0,1,3
811,Germany,Female,34.0,186339.74,149297.19,2,1,1,0,1
707,France,Male,30.0,33159.37,0.0,2,0,0,0,8
712,Germany,Male,28.0,93883.53,145605.44,1,1,1,0,4
706,Spain,Female,37.0,110899.3,0.0,2,1,1,0,7
756,France,Male,62.0,11199.04,0.0,1,1,1,1,3
777,France,Female,53.0,189992.97,0.0,2,0,0,0,10
646,France,Male,35.0,164255.69,84026.86,1,1,1,0,6
714,France,Male,46.0,152167.79,0.0,1,0,0,1,1
782,France,Male,39.0,33949.67,0.0,2,1,1,0,8
775,Spain,Male,29.0,68143.93,0.0,2,1,1,0,10
479,Germany,Male,35.0,47251.79,138718.92,1,1,1,1,4
807,France,Male,42.0,25885.72,118274.71,1,1,1,0,7
799,France,Female,22.0,192633.85,174185.98,2,1,1,0,8
675,France,Male,40.0,34577.36,113208.86,2,0,0,0,7
602,Spain,Male,29.0,161229.84,103907.28,1,0,0,0,5
475,France,Female,32.0,100816.29,119023.28,1,0,0,0,8
744,Spain,Female,26.0,181694.44,166297.89,1,1,1,0,5
588,Spain,Male,34.0,79078.91,0.0,2,0,0,0,10
703,Germany,Male,42.0,137316.32,63227.0,1,1,1,0,9
747,Spain,Female,41.0,194926.86,94521.17,2,0,0,0,5
583,France,Male,27.0,51285.49,0.0,2,0,0,0,7
750,Spain,Female,34.0,150401.53,112822.26,1,0,0,1,9
681,France,Male,38.0,112491.96,0.0,2,1,1,0,3
773,France,Male,25.0,73656.38,135903.33,1,0,0,0,2
714,France,Female,31.0,106636.89,125169.26,1,1,1,0,4
687,Spain,Female,44.0,155853.52,0.0,3,0,0,1,7
511,France,Male,58.0,162599.51,149117.31,1,1,1,0,0
627,France,Male,33.0,103737.82,0.0,2,1,1,0,5
694,France,Female,31.0,160990.27,0.0,2,0,0,0,10
616,Spain,Female,36.0,15462.84,132311.71,1,0,0,0,6
687,France,Male,35.0,10334.05,0.0,2,0,0,0,8
712,France,Female,33.0,190686.16,0.0,2,1,1,0,6
553,France,Male,33.0,94440.45,118082.89,1,0,0,0,4
667,France,Male,31.0,28257.63,119266.69,1,1,1,0,1
731,France,Male,43.0,170034.95,0.0,1,1,1,1,2
629,Germany,Male,35.0,31824.29,156847.29,2,0,0,0,7
614,France,Male,50.0,127166.49,137104.47,1,0,0,1,4
438,Germany,Male,31.0,44937.01,78398.69,1,0,0,0,8
652,France,Female,80.0,188603.07,0.0,2,1,1,0,4
729,Germany,Male,30.0,145111.37,63669.42,1,0,0,0,6
642,France,Male,38.0,171463.83,0.0,2,0,0,0,3
806,Germany,Female,59.0,182822.5,135296.33,1,0,0,0,0
744,Spain,Male,36.0,87213.33,153804.44,1,1,1,0,2
474,Spain,Male,37.0,57175.32,0.0,2,0,0,0,3
559,France,Male,49.0,120540.83,147069.78,1,0,0,1,2
706,Spain,Male,42.0,28714.34,0.0,2,1,1,0,9
628,Spain,Female,22.0,85426.28,0.0,1,0,0,0,3
429,France,Male,24.0,46170.75,95741.75,1,0,0,0,4
525,Spain,Female,57.0,64448.36,145965.33,1,1,1,0,2
680,France,Female,30.0,16278.97,141441.75,1,1,1,0,8
749,France,Male,40.0,182855.42,139290.41,1,0,0,1,1
763,France,Female,31.0,50404.72,0.0,2,0,0,0,4
734,France,Male,30.0,107640.25,0.0,2,0,0,0,3
716,France,Male,35.0,134132.65,144428.87,1,0,0,0,4
594,France,Male,35.0,103480.69,0.0,2,0,0,0,2
644,France,Female,46.0,108761.05,95441.27,1,0,0,1,9
671,Germany,Male,35.0,179012.3,144848.74,1,1,1,0,1
664,Germany,Male,26.0,95145.14,116244.14,2,1,1,0,7
656,France,Male,50.0,72143.44,0.0,2,1,1,0,7
667,Spain,Female,40.0,19162.89,146502.07,1,0,0,0,1
663,Germany,Male,44.0,144680.18,117028.6,2,1,1,0,2
584,Germany,Female,30.0,177772.03,112013.81,1,0,0,1,8
626,Spain,Female,37.0,5597.94,108269.37,1,0,0,0,6
485,France,Male,29.0,116828.51,182123.79,1,0,0,1,7
659,Germany,Female,32.0,174652.51,150923.74,2,1,1,0,3
649,France,Male,33.0,2010.98,0.0,2,0,0,0,2
805,Spain,Female,39.0,14109.85,165272.13,1,0,0,1,5
716,Germany,Female,39.0,43527.4,115301.31,1,0,0,1,10
642,Germany,Female,40.0,86099.23,129502.49,2,1,1,1,6
659,France,Male,31.0,161574.19,118342.26,1,0,0,0,4
545,Spain,Female,47.0,38970.14,0.0,2,1,1,0,5
543,France,Male,22.0,127587.22,0.0,2,0,0,0,8
718,France,Female,25.0,30380.12,0.0,2,0,0,0,7
840,France,Female,43.0,90908.95,0.0,2,0,0,0,7
630,Germany,Female,34.0,138275.01,106937.05,2,0,0,0,9
643,Germany,Male,59.0,32171.79,170331.37,1,1,1,0,3
654,Germany,Female,32.0,126143.23,114510.85,1,1,1,0,1
582,France,Male,39.0,129892.93,0.0,2,1,1,0,5
659,Spain,Male,32.0,102416.84,107594.11,2,1,1,0,3
762,Spain,Male,39.0,18719.67,81273.13,1,1,1,0,2
568,Spain,Female,32.0,61936.22,169399.6,1,0,0,0,7
670,Spain,Male,25.0,78358.94,0.0,2,1,1,0,6
613,France,Female,45.0,147224.27,187841.99,2,1,1,0,1
539,France,Male,30.0,160979.66,0.0,2,0,0,0,0
850,Spain,Female,57.0,132298.49,126776.3,2,1,1,0,8
522,Spain,Male,34.0,174248.52,126436.29,1,0,0,1,9
737,France,Male,41.0,123547.28,101960.74,1,1,1,0,1
520,France,Male,58.0,32790.02,0.0,2,1,1,0,3
706,Spain,Male,28.0,181543.67,0.0,2,1,1,0,3
643,Germany,Female,45.0,2319.96,150842.93,1,1,1,1,2
648,France,Female,50.0,189543.19,102535.57,1,1,1,0,9
443,Germany,Female,29.0,10940.4,99027.61,2,0,0,0,9
640,France,Male,68.0,199493.38,0.0,2,1,1,0,9
628,Spain,Female,33.0,188193.25,0.0,1,1,1,0,3
540,Germany,Female,42.0,172572.64,87271.41,2,0,0,0,9
460,Germany,Female,35.0,189339.6,102742.91,2,1,1,0,8
636,Germany,Male,34.0,53512.16,40105.51,2,1,1,0,2
593,France,Female,29.0,34004.44,152265.43,1,0,0,0,2
801,Spain,Male,42.0,10598.29,141947.67,1,1,1,0,4
640,Germany,Female,75.0,113428.77,106307.91,2,1,1,0,1
611,Germany,Male,31.0,183487.98,107884.81,2,1,1,0,0
802,Germany,Male,31.0,187658.09,125013.72,1,1,1,0,1
717,Germany,Male,35.0,172459.39,58469.37,2,1,1,0,7
769,France,Female,39.0,21016.0,0.0,1,1,1,0,8
745,Germany,Male,45.0,122381.02,117231.63,3,1,1,1,10
572,Spain,Male,35.0,128123.66,152390.26,1,0,0,0,4
629,Spain,Female,30.0,19570.63,34013.63,1,0,0,0,2
687,Spain,Female,39.0,188150.6,0.0,3,0,0,1,2
483,France,Female,50.0,111020.24,0.0,2,1,1,0,9
690,France,Male,36.0,123775.15,101583.11,2,0,0,0,7
492,Germany,Female,30.0,146700.22,77168.87,2,1,1,0,10
709,Germany,Male,28.0,145251.35,124695.72,2,0,0,0,8
705,Germany,Male,44.0,82463.69,105934.96,1,0,0,0,3
560,France,Female,66.0,15928.49,0.0,1,1,1,0,9
611,Spain,Male,46.0,45886.33,0.0,2,0,0,0,6
730,Spain,Male,62.0,186489.95,0.0,2,1,1,0,2
709,Spain,Female,45.0,162922.65,0.0,2,1,1,0,2
544,France,Female,21.0,9262.77,161525.96,2,0,0,0,10
712,Germany,Female,29.0,84932.4,147199.07,1,1,1,0,7
752,Germany,Male,38.0,71557.12,183102.29,1,1,1,0,3
648,Spain,Male,46.0,77405.95,127209.0,2,0,0,1,9
556,Spain,Male,38.0,417.41,0.0,2,0,0,1,8
594,Spain,Female,24.0,71405.17,97378.54,1,1,1,0,0
645,Germany,Female,37.0,153400.24,136925.09,2,1,1,0,2
557,France,Male,33.0,371.05,54503.55,1,1,1,0,3
547,Germany,Male,32.0,67789.99,155726.85,1,0,0,0,8
701,France,Female,39.0,145894.9,0.0,2,1,1,0,9
616,France,Female,66.0,183840.51,135842.41,1,0,0,1,1
605,France,Male,52.0,108887.44,63349.75,1,0,0,0,1
593,Germany,Female,38.0,154071.27,129499.42,1,1,1,0,4
751,Spain,Male,52.0,179291.85,0.0,2,1,1,0,8
443,Spain,Male,36.0,56937.43,70438.01,2,1,1,0,6
685,France,Male,23.0,112239.03,0.0,2,1,1,0,8
718,France,Male,36.0,45909.87,0.0,1,0,0,0,9
538,Spain,Female,49.0,173779.25,141434.04,1,0,0,1,9
611,Spain,Female,37.0,125696.26,0.0,2,0,0,0,4
668,Germany,Male,37.0,159585.61,152958.29,2,1,1,0,10
537,Germany,Female,41.0,106761.47,138306.34,1,0,0,0,3
709,Spain,Male,23.0,129590.18,0.0,2,0,0,0,10
850,France,Male,38.0,80006.65,0.0,2,1,1,0,1
745,Spain,Female,31.0,140451.52,124328.84,1,1,1,0,3
693,Germany,Female,41.0,187929.43,181461.48,3,1,1,1,9
795,Spain,Male,35.0,167155.36,0.0,2,0,0,0,8
626,Spain,Male,26.0,191420.71,0.0,2,0,0,0,8
487,Germany,Female,61.0,11384.45,110368.03,1,0,0,1,5
556,France,Female,39.0,94898.1,89588.35,1,1,1,0,9
643,France,Female,46.0,106781.59,0.0,2,0,0,0,6
605,France,Female,28.0,159508.52,0.0,2,0,0,0,6
756,Germany,Female,60.0,93524.19,115924.89,1,0,0,1,3
586,France,Female,38.0,87168.46,0.0,2,0,0,0,2
535,Germany,Male,40.0,8128.32,111756.5,1,0,0,1,7
678,France,Female,35.0,125518.32,0.0,1,0,0,0,4
596,France,Male,39.0,48963.59,0.0,1,0,0,0,9
648,France,Male,26.0,98368.24,162923.85,1,0,0,0,9
492,Germany,Male,39.0,148584.61,124576.65,2,0,0,0,10
702,France,Male,45.0,27474.81,80793.58,1,1,1,0,0
486,Germany,Female,40.0,76192.21,71340.09,1,0,0,0,9
568,Germany,Male,40.0,134600.94,99282.63,1,0,0,1,1
619,Germany,Male,57.0,72467.99,137946.39,1,1,1,1,3
724,Germany,Male,41.0,199645.45,127892.57,2,1,1,0,2
548,Germany,Female,33.0,42749.85,101084.36,1,0,0,0,0
545,Germany,Female,37.0,136050.44,114754.08,1,0,0,1,8
683,France,Male,33.0,73564.44,0.0,1,0,0,0,8
762,France,Female,51.0,85578.63,99286.98,1,1,1,0,3
